Jogadores,Jogo,Min em quadra,Pontos,Cesta de 3 pts,Cesta de 2 pts,Lances Livres,Rebotes,Rebotes Ofensivos,Rebotes Defensivos,Assistências,Erros,índice de ass. por erro,Arremessos de 3 pts certos,Arremessos de 3 pts tentados,Cesta de 3 (%),Arremessos de 2 pts certos,Arremessos de 2 pts tentados,Arremessos 2 pts convertidos (%),Lances Livres Certos,Lances Livres Tentados,Lances Livres Convertidos (%),Enterradas,Bolas Recuperadas,Erros,Índice de bolas recuperadas por erro,Tocos,Faltas Cometidas,índice de tocos por faltas cometidas,Total de erros (soma de erros e violações),Violações,Erros,Eficiência,Pontos,Rebotes,Assistência,Bolas Recuperadas ,Tocos,Eficiência,Pontos,Rebotes,Assistências,Bolas Recuperadas,Tocos,Duplos Duplos,Triplos Duplos
McClanahan #22,32,34.50,21.44,6.19,11.06,4.19,3.59,0.69,2.91,1.75,2.31,0.76,6.72,02.06,30.70,5.53,10.09,54.80,4.19,6.22,67.34,0.16,01.09,2.31,0.47,0.19,2.69,0.07,2.31,0.50,2.31,14.50,21.44,3.59,1.75,01.09,0.19,14.50,21.44,3.59,1.75,01.09,0.19,0.00,0.00
Antonio #11,38,32.13,17.55,5.68,8.58,3.29,4.84,4.84,3.16,1.29,2.00,0.64,5.00,1.89,37.89,4.29,7.95,53.97,3.29,4.66,70.62,0.26,0.84,2.00,0.42,0.26,2.71,0.10,2.00,0.34,2.00,14.66,17.55,4.84,1.29,0.84,0.26,14.66,17.55,4.84,1.29,0.84,0.26,0.05,0.00
Lucas Dias #9,38,31.55,17.29,6.16,8.79,2.34,7.42,7.42,5.63,2.42,1.87,1.30,05.08,02.05,40.41,4.39,7.34,59.86,2.34,03.03,77.39,0.37,0.79,1.87,0.42,0.53,2.13,0.25,1.87,0.18,1.87,19.92,17.29,7.42,2.42,0.79,0.53,19.92,17.29,7.42,2.42,0.79,0.53,0.24,0.03
Lucas Mariano #28,44,27.24,17.07,6.61,7.50,2.95,5.50,5.50,04.07,1.52,1.68,0.91,6.36,2.20,34.64,3.75,6.34,59.14,2.95,3.98,74.29,0.61,0.82,1.68,0.49,0.32,1.91,0.17,1.68,0.14,1.68,15.77,17.07,5.50,1.52,0.82,0.32,15.77,17.07,5.50,1.52,0.82,0.32,0.07,0.00
Thomas #0,34,32.00,17.00,4.94,8.24,3.82,4.79,4.79,4.26,3.88,3.82,01.02,4.82,1.65,34.15,4.12,7.79,52.83,3.82,5.21,73.45,0.56,1.15,3.82,0.30,0.38,2.41,0.16,3.82,0.65,3.82,15.15,17.00,4.79,3.88,1.15,0.38,15.15,17.00,4.79,3.88,1.15,0.38,0.03,0.00
Gemadinha #35,32,33.05,16.94,8.53,4.81,3.59,3.41,3.41,2.75,3.88,2.44,1.59,8.16,2.84,34.87,2.41,5.91,40.74,3.59,4.38,82.14,0.00,01.03,2.44,0.42,0.03,3.00,0.01,2.44,0.38,2.44,13.25,16.94,3.41,3.88,01.03,0.03,13.25,16.94,3.41,3.88,01.03,0.03,0.00,0.00
Johnson Sr #22,36,30.11,16.14,5.42,6.72,4.00,4.17,4.17,3.58,4.19,2.14,1.96,4.42,1.81,40.88,3.36,6.11,55.00,4.00,4.97,80.45,0.22,0.81,2.14,0.38,0.28,2.42,0.11,2.14,0.31,2.14,17.11,16.14,4.17,4.19,0.81,0.28,17.11,16.14,4.17,4.19,0.81,0.28,0.03,0.00
Munford #14,38,30.21,15.61,04.03,8.32,3.26,07.08,07.08,5.29,1.66,1.24,1.34,4.21,1.34,31.88,4.16,8.16,50.97,3.26,3.87,84.35,0.03,0.71,1.24,0.57,0.26,2.13,0.12,1.24,0.13,1.24,16.61,15.61,07.08,1.66,0.71,0.26,16.61,15.61,07.08,1.66,0.71,0.26,0.21,0.00
Roque #77,35,29.26,15.51,05.06,7.60,2.86,4.00,4.00,3.31,3.89,3.20,1.21,5.80,1.69,29.06,3.80,7.57,50.19,2.86,4.20,68.03,0.00,1.40,3.20,0.44,0.03,2.66,0.01,3.20,0.57,3.20,12.40,15.51,4.00,3.89,1.40,0.03,12.40,15.51,4.00,3.89,1.40,0.03,0.00,0.00
Ruan #8,31,28.78,15.39,0.29,12.13,2.97,8.00,8.00,5.10,1.00,2.42,0.41,0.35,0.10,27.27,06.06,9.65,62.88,2.97,5.23,56.79,1.42,0.52,2.42,0.21,0.77,2.16,0.36,2.42,0.68,2.42,17.16,15.39,8.00,1.00,0.52,0.77,17.16,15.39,8.00,1.00,0.52,0.77,0.19,0.00
