,jogadores,jogo,min_em_quadra,pontos,cesta_de_3_pts,cesta_de_2_pts,lances_livres,rebotes,rebotes_ofensivos,rebotes_defensivos,assistências,erros,índice_de_ass,arremessos_de_3_pts_certos,arremessos_de_3_pts_tentados,cesta_de_3_(%),arremessos_de_2_pts_certos,arremessos_de_2_pts_tentados,arremessos_2_pts_convertidos_(%),lances_livres_certos,lances_livres_tentados,lances_livres_convertidos_(%),enterradas,bolas_recuperadas,índice_de_bolas_recuperadas_por_erro,tocos,faltas_cometidas,índice_de_tocos_por_faltas_cometidas,total_de_erros_(soma_de_erros_e_violações),violações,eficiência,assistência,bolas_recuperadas_,duplos_duplos,triplos_duplos,total_min
0,McClanahan #22,32,34.5,21.44,6.19,11.06,4.19,3.59,0.69,2.91,1.75,2.31,0.76,6.72,2.06,30.7,5.53,10.09,54.8,4.19,6.22,67.34,0.16,1.09,0.47,0.19,2.69,0.07,2.31,0.5,14.5,1.75,1.09,0.0,0.0,1104.0
1,Antonio #11,38,32.13,17.55,5.68,8.58,3.29,4.84,4.84,3.16,1.29,2.0,0.64,5.0,1.89,37.89,4.29,7.95,53.97,3.29,4.66,70.62,0.26,0.84,0.42,0.26,2.71,0.1,2.0,0.34,14.66,1.29,0.84,0.05,0.0,1220.94
2,Lucas Dias #9,38,31.55,17.29,6.16,8.79,2.34,7.42,7.42,5.63,2.42,1.87,1.3,5.08,2.05,40.41,4.39,7.34,59.86,2.34,3.03,77.39,0.37,0.79,0.42,0.53,2.13,0.25,1.87,0.18,19.92,2.42,0.79,0.24,0.03,1198.9
3,Lucas Mariano #28,44,27.24,17.07,6.61,7.5,2.95,5.5,5.5,4.07,1.52,1.68,0.91,6.36,2.2,34.64,3.75,6.34,59.14,2.95,3.98,74.29,0.61,0.82,0.49,0.32,1.91,0.17,1.68,0.14,15.77,1.52,0.82,0.07,0.0,1198.56
4,Thomas #0,34,32.0,17.0,4.94,8.24,3.82,4.79,4.79,4.26,3.88,3.82,1.02,4.82,1.65,34.15,4.12,7.79,52.83,3.82,5.21,73.45,0.56,1.15,0.3,0.38,2.41,0.16,3.82,0.65,15.15,3.88,1.15,0.03,0.0,1088.0
5,Gemadinha #35,32,33.05,16.94,8.53,4.81,3.59,3.41,3.41,2.75,3.88,2.44,1.59,8.16,2.84,34.87,2.41,5.91,40.74,3.59,4.38,82.14,0.0,1.03,0.42,0.03,3.0,0.01,2.44,0.38,13.25,3.88,1.03,0.0,0.0,1057.6
6,Johnson Sr #22,36,30.11,16.14,5.42,6.72,4.0,4.17,4.17,3.58,4.19,2.14,1.96,4.42,1.81,40.88,3.36,6.11,55.0,4.0,4.97,80.45,0.22,0.81,0.38,0.28,2.42,0.11,2.14,0.31,17.11,4.19,0.81,0.03,0.0,1083.96
7,Munford #14,38,30.21,15.61,4.03,8.32,3.26,7.08,7.08,5.29,1.66,1.24,1.34,4.21,1.34,31.88,4.16,8.16,50.97,3.26,3.87,84.35,0.03,0.71,0.57,0.26,2.13,0.12,1.24,0.13,16.61,1.66,0.71,0.21,0.0,1147.98
8,Roque #77,35,29.26,15.51,5.06,7.6,2.86,4.0,4.0,3.31,3.89,3.2,1.21,5.8,1.69,29.06,3.8,7.57,50.19,2.86,4.2,68.03,0.0,1.4,0.44,0.03,2.66,0.01,3.2,0.57,12.4,3.89,1.4,0.0,0.0,1024.1000000000001
9,Ruan #8,31,28.78,15.39,0.29,12.13,2.97,8.0,8.0,5.1,1.0,2.42,0.41,0.35,0.1,27.27,6.06,9.65,62.88,2.97,5.23,56.79,1.42,0.52,0.21,0.77,2.16,0.36,2.42,0.68,17.16,1.0,0.52,0.19,0.0,892.1800000000001
10,Miller #33,41,30.55,15.17,9.73,3.27,2.17,4.22,4.22,3.66,1.66,1.49,1.11,7.49,3.24,43.32,1.63,3.05,53.6,2.17,2.71,80.18,0.07,0.88,0.59,0.32,2.12,0.15,1.49,0.27,14.56,1.66,0.88,0.02,0.0,1252.55
11,Jonatan #50,24,32.43,14.63,6.5,5.92,2.21,2.83,2.83,2.0,2.08,1.63,1.28,5.38,2.17,40.31,2.96,5.79,51.08,2.21,2.5,88.33,0.0,0.92,0.56,0.0,1.38,0.0,1.63,0.29,12.5,2.08,0.92,0.0,0.0,778.3199999999999
12,Georginho #14,47,31.98,14.47,5.11,5.4,3.96,8.26,8.26,7.23,6.15,3.06,2.01,4.7,1.7,36.2,2.7,4.91,54.98,3.96,5.11,77.5,0.3,0.98,0.32,0.64,1.55,0.41,3.06,0.13,21.06,6.15,0.98,0.32,0.04,1503.06
13,Augusto #5,32,27.83,14.44,7.5,4.13,2.81,3.66,3.66,2.84,3.22,1.63,1.98,6.66,2.5,37.56,2.06,4.88,42.31,2.81,3.59,78.26,0.0,1.13,0.69,0.06,2.38,0.03,1.63,0.13,13.13,3.22,1.13,0.03,0.0,890.56
14,Gadson #23,8,26.48,14.25,5.63,7.0,1.63,4.75,4.75,4.0,2.75,2.5,1.1,3.13,1.88,60.0,3.5,5.5,63.64,1.63,1.75,92.86,0.0,0.63,0.25,0.13,1.75,0.07,2.5,0.88,16.63,2.75,0.63,0.0,0.0,211.84
