,nome,estado,latitude,longitude
0,Abadia de Goiás,52,-16.7573,-49.4412
1,Abadia dos Dourados,31,-18.4831,-47.3916
2,Abadiânia,52,-16.197,-48.7057
3,Abaeté,31,-19.1551,-45.4444
4,Abaetetuba,15,-1.72183,-48.8788
5,Abaiara,23,-7.34588,-39.0416
6,Abaíra,29,-13.2488,-41.6619
7,Abaré,29,-8.72073,-39.1162
8,Abatiá,41,-23.3049,-50.3133
9,Abdon Batista,42,-27.6126,-51.0233
10,Abel Figueiredo,15,-4.95333,-48.3933
11,Abelardo Luz,42,-26.5716,-52.3229
12,Abre Campo,31,-20.2996,-42.4743
13,Abreu e Lima,26,-7.90072,-34.8984
14,Abreulândia,17,-9.62101,-49.1518
15,Acaiaca,31,-20.359,-43.1439
16,Açailândia,21,-4.94714,-47.5004
17,Acajutiba,29,-11.6575,-38.0197
18,Acará,15,-1.95383,-48.1985
19,Acarape,23,-4.22083,-38.7055
20,Acaraú,23,-2.88769,-40.1183
21,Acari,24,-6.4282,-36.6347
22,Acauã,22,-8.21954,-41.0831
23,Aceguá,43,-31.8665,-54.1615
24,Acopiara,23,-6.08911,-39.448
25,Acorizal,51,-15.194,-56.3632
26,Acrelândia,12,-9.82581,-66.8972
27,Acreúna,52,-17.396,-50.3749
28,Açu,24,-5.58362,-36.914
29,Açucena,31,-19.0671,-42.5419
30,Adamantina,35,-21.682,-51.0737
31,Adelândia,52,-16.4127,-50.1657
32,Adolfo,35,-21.2325,-49.6451
33,Adrianópolis,41,-24.6606,-48.9922
34,Adustina,29,-10.5437,-38.1113
35,Afogados da Ingazeira,26,-7.74312,-37.631
36,Afonso Bezerra,24,-5.49229,-36.5075
37,Afonso Cláudio,32,-20.0778,-41.1261
38,Afonso Cunha,21,-4.13631,-43.3275
39,Afrânio,26,-8.51136,-41.0095
40,Afuá,15,-0.154874,-50.3861
41,Agrestina,26,-8.45966,-35.9447
42,Agricolândia,22,-5.79676,-42.6664
43,Agrolândia,42,-27.4087,-49.822
44,Agronômica,42,-27.2662,-49.708
45,Água Azul do Norte,15,-6.79053,-50.4791
46,Água Boa,31,-17.9914,-42.3806
47,Água Boa,51,-14.051,-52.1601
48,Água Branca,22,-5.88856,-42.637
49,Água Branca,25,-7.51144,-37.6357
50,Água Branca,27,-9.262,-37.938
51,Água Clara,50,-20.4452,-52.879
52,Água Comprida,31,-20.0576,-48.1069
53,Água Doce,42,-26.9985,-51.5528
54,Água Doce do Maranhão,21,-2.84048,-42.1189
55,Água Doce do Norte,32,-18.5482,-40.9854
56,Água Fria,29,-11.8618,-38.7639
57,Água Fria de Goiás,52,-14.9778,-47.7823
58,Água Limpa,52,-18.0771,-48.7603
59,Água Nova,24,-6.20351,-38.2941
60,Água Preta,26,-8.70609,-35.5263
61,Água Santa,43,-28.1672,-52.031
62,Aguaí,35,-22.0572,-46.9735
63,Aguanil,31,-20.9439,-45.3915
64,Águas Belas,26,-9.11125,-37.1226
65,Águas da Prata,35,-21.9319,-46.7176
66,Águas de Chapecó,42,-27.0754,-52.9808
67,Águas de Lindóia,35,-22.4733,-46.6314
68,Águas de Santa Bárbara,35,-22.8812,-49.2421
69,Águas de São Pedro,35,-22.5977,-47.8734
70,Águas Formosas,31,-17.0802,-40.9384
71,Águas Frias,42,-26.8794,-52.8568
72,Águas Lindas de Goiás,52,-15.7617,-48.2816
73,Águas Mornas,42,-27.6963,-48.8243
74,Águas Vermelhas,31,-15.7431,-41.4571
75,Agudo,43,-29.6447,-53.2515
76,Agudos,35,-22.4694,-48.9863
77,Agudos do Sul,41,-25.9899,-49.3343
78,Águia Branca,32,-18.9846,-40.7437
79,Aguiar,25,-7.0918,-38.1681
80,Aguiarnópolis,17,-6.55409,-47.4702
81,Aimorés,31,-19.5007,-41.0746
82,Aiquara,29,-14.1269,-39.8937
83,Aiuaba,23,-6.57122,-40.1178
84,Aiuruoca,31,-21.9736,-44.6042
85,Ajuricaba,43,-28.2342,-53.7757
86,Alagoa,31,-22.171,-44.6413
87,Alagoa Grande,25,-7.03943,-35.6206
88,Alagoa Nova,25,-7.05377,-35.7591
89,Alagoinha,25,-6.94657,-35.5332
90,Alagoinha,26,-8.4665,-36.7788
91,Alagoinha do Piauí,22,-7.00039,-40.9282
92,Alagoinhas,29,-12.1335,-38.4208
93,Alambari,35,-23.5503,-47.898
94,Albertina,31,-22.2018,-46.6139
95,Alcântara,21,-2.39574,-44.4062
96,Alcântaras,23,-3.58537,-40.5479
97,Alcantil,25,-7.73668,-36.0511
98,Alcinópolis,50,-18.3255,-53.7042
99,Alcobaça,29,-17.5195,-39.2036
100,Aldeias Altas,21,-4.62621,-43.4689
101,Alecrim,43,-27.6579,-54.7649
102,Alegre,32,-20.758,-41.5382
103,Alegrete,43,-29.7902,-55.7949
104,Alegrete do Piauí,22,-7.24196,-40.8566
105,Alegria,43,-27.8345,-54.0557
106,Além Paraíba,31,-21.8797,-42.7176
107,Alenquer,15,-1.94623,-54.7384
108,Alexandria,24,-6.40533,-38.0142
109,Alexânia,52,-16.0834,-48.5076
110,Alfenas,31,-21.4256,-45.9477
111,Alfredo Chaves,32,-20.6396,-40.7543
112,Alfredo Marcondes,35,-21.9527,-51.414
113,Alfredo Vasconcelos,31,-21.1535,-43.7718
114,Alfredo Wagner,42,-27.7001,-49.3273
115,Algodão de Jandaíra,25,-6.89292,-36.0129
116,Alhandra,25,-7.42977,-34.9057
117,Aliança,26,-7.60398,-35.2227
118,Aliança do Tocantins,17,-11.3056,-48.9361
119,Almadina,29,-14.7089,-39.6415
120,Almas,17,-11.5706,-47.1792
121,Almeirim,15,-1.52904,-52.5788
122,Almenara,31,-16.1785,-40.6942
123,Almino Afonso,24,-6.1475,-37.7636
124,Almirante Tamandaré,41,-25.3188,-49.3037
125,Almirante Tamandaré do Sul,43,-28.1149,-52.9142
126,Aloândia,52,-17.7292,-49.4769
127,Alpercata,31,-18.974,-41.97
128,Alpestre,43,-27.2502,-53.0341
129,Alpinópolis,31,-20.8631,-46.3878
130,Alta Floresta,51,-9.86674,-56.0867
131,Alta Floresta D'Oeste,11,-11.9283,-61.9953
132,Altair,35,-20.5242,-49.0571
133,Altamira,15,-3.20407,-52.21
134,Altamira do Maranhão,21,-4.16598,-45.4706
135,Altamira do Paraná,41,-24.7983,-52.7128
136,Altaneira,23,-6.99837,-39.7356
137,Alterosa,31,-21.2488,-46.1387
138,Altinho,26,-8.48482,-36.0644
139,Altinópolis,35,-21.0214,-47.3712
140,Alto Alegre,35,-21.5811,-50.168
141,Alto Alegre,14,2.98858,-61.3072
142,Alto Alegre,43,-28.7769,-52.9893
143,Alto Alegre do Maranhão,21,-4.213,-44.446
144,Alto Alegre do Pindaré,21,-3.66689,-45.8421
145,Alto Alegre dos Parecis,11,-12.132,-61.835
146,Alto Araguaia,51,-17.3153,-53.2181
147,Alto Bela Vista,42,-27.4333,-51.9044
148,Alto Boa Vista,51,-11.6732,-51.3883
149,Alto Caparaó,31,-20.431,-41.8738
150,Alto do Rodrigues,24,-5.28186,-36.75
151,Alto Feliz,43,-29.3919,-51.3123
152,Alto Garças,51,-16.9462,-53.5272
153,Alto Horizonte,52,-14.1978,-49.3378
154,Alto Jequitibá,31,-20.4208,-41.967
155,Alto Longá,22,-5.25634,-42.2096
156,Alto Paraguai,51,-14.5137,-56.4776
157,Alto Paraíso,41,-26.1146,-52.7469
158,Alto Paraíso,11,-9.71429,-63.3188
159,Alto Paraíso de Goiás,52,-14.1305,-47.51
160,Alto Paraná,41,-23.1312,-52.3189
161,Alto Parnaíba,21,-9.10273,-45.9303
162,Alto Piquiri,41,-24.0224,-53.44
163,Alto Rio Doce,31,-21.0281,-43.4067
164,Alto Rio Novo,32,-19.0618,-41.0209
165,Alto Santo,23,-5.50894,-38.2743
166,Alto Taquari,51,-17.8241,-53.2792
167,Altônia,41,-23.8759,-53.8958
168,Altos,22,-5.03888,-42.4612
169,Alumínio,35,-23.5306,-47.2546
170,Alvarães,13,-3.22727,-64.8007
171,Alvarenga,31,-19.4174,-41.7317
172,Álvares Florence,35,-20.3203,-49.9141
173,Álvares Machado,35,-22.0764,-51.4722
174,Álvaro de Carvalho,35,-22.0841,-49.719
175,Alvinlândia,35,-22.4435,-49.7623
176,Alvinópolis,31,-20.1098,-43.0535
177,Alvorada,17,-12.4785,-49.1249
178,Alvorada,43,-29.9914,-51.0809
179,Alvorada D'Oeste,11,-11.3463,-62.2847
180,Alvorada de Minas,31,-18.7334,-43.3638
181,Alvorada do Gurguéia,22,-8.42418,-43.777
182,Alvorada do Norte,52,-14.4797,-46.491
183,Alvorada do Sul,41,-22.7813,-51.2297
184,Amajari,14,3.64571,-61.3692
185,Amambai,50,-23.1058,-55.2253
186,Amapá,16,2.05267,-50.7957
187,Amapá do Maranhão,21,-1.67524,-46.0024
188,Amaporã,41,-23.0943,-52.7866
189,Amaraji,26,-8.37691,-35.4501
190,Amaral Ferrador,43,-30.8756,-52.2509
191,Amaralina,52,-13.9236,-49.2962
192,Amarante,22,-6.24304,-42.8433
193,Amarante do Maranhão,21,-5.56913,-46.7473
194,Amargosa,29,-13.0215,-39.602
195,Amaturá,13,-3.37455,-68.2005
196,Amélia Rodrigues,29,-12.3914,-38.7563
197,América Dourada,29,-11.4429,-41.439
198,Americana,35,-22.7374,-47.3331
199,Americano do Brasil,52,-16.2514,-49.9831
200,Américo Brasiliense,35,-21.7288,-48.1147
201,Américo de Campos,35,-20.2985,-49.7359
202,Ametista do Sul,43,-27.3607,-53.183
203,Amontada,23,-3.36017,-39.8288
204,Amorinópolis,52,-16.6151,-51.0919
205,Amparo,25,-7.55502,-37.0628
206,Amparo,35,-22.7088,-46.772
207,Amparo de São Francisco,28,-10.1348,-36.935
208,Amparo do Serra,31,-20.5051,-42.8009
209,Ampére,41,-25.9168,-53.4686
210,Anadia,27,-9.68489,-36.3078
211,Anagé,29,-14.6151,-41.1356
212,Anahy,41,-24.6449,-53.1332
213,Anajás,15,-0.996811,-49.9354
214,Anajatuba,21,-3.26269,-44.6126
215,Analândia,35,-22.1289,-47.6619
216,Anamã,13,-3.56697,-61.3963
217,Ananás,17,-6.36437,-48.0735
218,Ananindeua,15,-1.36391,-48.3743
219,Anápolis,52,-16.3281,-48.953
220,Anapu,15,-3.46985,-51.2003
221,Anapurus,21,-3.67577,-43.1014
222,Anastácio,50,-20.4823,-55.8104
223,Anaurilândia,50,-22.1852,-52.7191
224,Anchieta,42,-26.5382,-53.3319
225,Anchieta,32,-20.7955,-40.6425
226,Andaraí,29,-12.8049,-41.3297
227,Andirá,41,-23.0533,-50.2304
228,Andorinha,29,-10.3482,-39.8391
229,Andradas,31,-22.0695,-46.5724
230,Andradina,35,-20.8948,-51.3786
231,André da Rocha,43,-28.6283,-51.5797
232,Andrelândia,31,-21.7411,-44.3117
233,Angatuba,35,-23.4917,-48.4139
234,Angelândia,31,-17.7279,-42.2641
235,Angélica,50,-22.1527,-53.7708
236,Angelim,26,-8.88429,-36.2902
237,Angelina,42,-27.5704,-48.9879
238,Angical,29,-12.0063,-44.7003
239,Angical do Piauí,22,-6.08786,-42.74
240,Angico,17,-6.39179,-47.8611
241,Angicos,24,-5.65792,-36.6094
242,Angra dos Reis,33,-23.0011,-44.3196
243,Anguera,29,-12.1462,-39.2462
244,Ângulo,41,-23.1946,-51.9154
245,Anhanguera,52,-18.3339,-48.2204
246,Anhembi,35,-22.793,-48.1336
247,Anhumas,35,-22.2934,-51.3895
248,Anicuns,52,-16.4642,-49.9617
249,Anísio de Abreu,22,-9.18564,-43.0494
250,Anita Garibaldi,42,-27.6897,-51.1271
251,Anitápolis,42,-27.9012,-49.1316
252,Anori,13,-3.74603,-61.6575
253,Anta Gorda,43,-28.9698,-52.0102
254,Antas,29,-10.3856,-38.3401
255,Antonina,41,-25.4386,-48.7191
256,Antonina do Norte,23,-6.76919,-39.987
257,Antônio Almeida,22,-7.21276,-44.1889
258,Antônio Cardoso,29,-12.4335,-39.1176
259,Antônio Carlos,42,-27.5191,-48.766
260,Antônio Carlos,31,-21.321,-43.7451
261,Antônio Dias,31,-19.6491,-42.8732
262,Antônio Gonçalves,29,-10.5767,-40.2785
263,Antônio João,50,-22.1927,-55.9517
264,Antônio Martins,24,-6.21367,-37.8834
265,Antônio Olinto,41,-25.9804,-50.1972
266,Antônio Prado,43,-28.8565,-51.2883
267,Antônio Prado de Minas,31,-21.0192,-42.1109
268,Aparecida,25,-6.78466,-38.0803
269,Aparecida,35,-22.8495,-45.2325
