Munícipio,janeiro,fevereiro,março,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro,,
São José dos Campos,0,0,2,0,0,0,0,0,0,0,0,0,-23.1896,-45.8841
Belo Horizonte,0,0,1,1,2,1,0,0,0,0,0,0,-19.9102,-43.9266
Urussanga,0,0,1,0,0,0,0,0,0,0,0,0,-28.518,-49.3238
Campinas,1,1,1,1,0,0,0,0,0,0,1,0,-22.9053,-47.0659
Valparaíso,0,0,1,1,0,0,0,0,0,0,0,0,-21.2229,-50.8699
Sorocaba ,1,1,1,0,0,0,0,0,0,0,0,0,"-23,4969","-47,4451"
Hortolândia,0,0,1,0,0,0,0,0,0,0,0,0,"-22,8529","-47,2143"
Florianópolis,1,1,1,1,0,0,0,0,0,0,0,0,"-27,5945","-48,5477"
Jaraguá do Sul,0,0,1,0,0,0,0,0,0,0,0,0,-26.4851,-49.0713
São Franscisco do Sul,0,0,1,0,0,0,0,0,0,0,0,0,-26.2579,-48.6344
Pelotas,0,0,0,1,0,0,0,0,0,0,0,0,-31.7649,-52.3371
Gôiania,1,1,1,1,0,0,0,0,0,0,1,0,-16.6864,-49.2643
Aparecida de Gôania,1,1,1,1,0,0,0,0,0,0,0,0,"-16,8198","-49,2469"
Santo Antônio da Barra,1,1,1,1,0,0,0,0,0,0,0,0,-17.5585,-50.6345
Novo Mundo,1,1,1,1,0,0,0,0,0,0,0,0,"-9,95616","-55,2029"
Silvânia,1,1,1,1,0,0,0,0,0,0,0,0,-16.66,-48.6083
Pires do Rio,1,1,1,1,0,0,0,0,0,0,0,0,-17.3019,-48.2768
Ouvidor,1,1,1,1,0,0,0,0,0,0,0,0,"-18,2277","-47,8355"
Corumbaíba,1,1,1,1,0,0,0,0,0,0,0,0,"-18,1415","-48,5626"
Cumari,1,1,1,1,0,0,0,0,0,0,0,0,-18.2644,-48.1511
Caldas Novas,1,1,1,1,0,0,0,0,0,0,0,0,"-17,7441","-48,6246"
Cezarina,1,1,1,1,0,0,0,0,0,0,0,0,"-16,9718","-49,7758"
