ano,mes,data,cloud_percent,acima_NDVI,abaixo_NDVI,proporcao_NDVI,acima_EVI,abaixo_EVI,proporcao_EVI,image_id
2019,7,2019-07-01,0.028965,1751836,681206,0.720018807731227,1502468,930574,0.6175265367387821,COPERNICUS/S2_SR/20190701T140059_20190701T140101_T21LWC
2019,8,2019-08-10,0.008204,1021147,1411895,0.419699701032699,851530,1581512,0.34998573801849703,COPERNICUS/S2_SR/20190810T140059_20190810T140059_T21LXC
2019,9,2019-09-04,0.008203,1001876,1431166,0.4117791636971331,689010,1744032,0.2831886995785523,COPERNICUS/S2_SR/20190904T140051_20190904T140439_T21LXC
2020,7,2020-07-05,0.012574,1031134,1401908,0.42380443905201803,888998,1544044,0.36538538997682735,COPERNICUS/S2_SR/20200705T140059_20200705T140054_T21LXC
2020,8,2020-08-24,0.011756,975993,1457049,0.40114104072186174,611483,1821559,0.25132447364246074,COPERNICUS/S2_SR/20200824T140059_20200824T140229_T21LXC
2020,9,2020-09-03,0.108533,933664,1499378,0.38374347832877526,713598,1719444,0.2932945670481644,COPERNICUS/S2_SR/20200903T140059_20200903T140055_T21LXC
2021,7,2021-07-10,0.014291,1025964,1407078,0.4216795271105061,763201,1669841,0.3136818024514168,COPERNICUS/S2_SR/20210710T140059_20210710T140054_T21LXC
2021,8,2021-08-14,0.013628,982438,1450604,0.4037899880067833,431208,2001834,0.17722998616546692,COPERNICUS/S2_SR/20210814T140101_20210814T140055_T21LXC
2021,9,2021-09-08,0.011454,912356,1520686,0.3749857174680914,334188,2098854,0.13735397909283933,COPERNICUS/S2_SR/20210908T140019_20210908T140013_T21LXC
2022,7,2022-07-10,0.002917,951247,1481795,0.3909702339704781,932616,1500426,0.3833127418268982,COPERNICUS/S2_SR/20220710T135721_20220710T140057_T21LXC
2022,8,2022-08-14,0.002097,1516352,916690,0.6232329733724284,1569724,863318,0.6451692983516109,COPERNICUS/S2_SR/20220814T135709_20220814T135717_T21LWC
2022,9,2022-09-13,0.003776,1441608,991434,0.5925125830133635,1426639,1006403,0.5863602025776785,COPERNICUS/S2_SR/20220913T135709_20220913T140111_T21LWC
2023,7,2023-07-10,0.001844,928291,1504751,0.3815351317404303,916931,1516111,0.3768660795826788,COPERNICUS/S2_SR/20230710T135709_20230710T135712_T21LXC
2023,8,2023-08-04,0.002787,1436725,996317,0.5905056304001328,1365569,1067473,0.5612599371486394,COPERNICUS/S2_SR/20230804T135711_20230804T135707_T21LWC
