placa,I1,O1,I2
BDP4I30,296.1,909.0,1645.830062843615
BDP8C60,289.63,1694.5,2402.741402726273
BDP8C61,448.67,2414.0,2454.512636551995
BDP8C62,313.09999999999997,1654.0,2862.5136128969903
BDP8C63,118.13,165.0,2690.218963033333
BDP8C64,431.8,2088.0,2279.0674189990214
BDP8C65,298.78,998.0,1223.6279365252146
BDP8C67,307.14,1087.0,908.8180979678496
BDP8C68,496.46999999999997,2120.0,2966.739472087383
BDP8C70,188.12,618.0,2140.7325149003927
BDP8C72,192.99,469.0,2050.274617582493
BDP8C74,419.11,1488.0,1991.568284721473
BDP8C76,336.77000000000004,2005.0,1041.5998743902976
BDP8C77,279.35,1134.0,764.7002042573042
BDP8D17,375.16,1353.0,2166.046918884294
BDP8D18,211.57999999999998,638.0,1135.92890200719
BDP8D19,71.95,0.0,2378.2801424919585
BDP8D28,232.5,785.0,840.4396501019125
BDP8D29,422.98999999999995,1550.0,2744.3141891763216
BDP8D30,221.5,734.0,1544.2970497247954
BDP8D31,255.08,1018.0,931.6059665021498
BDP8E52,628.69,2728.0,1818.2748174434623
BDP8E53,254.55,1404.0,1355.9101231108898
BDP8E56,153.89,339.0,2253.302183999495
BDP8E57,151.8,411.0,1156.429868145265
BDP8E59,501.41999999999996,2062.0,1906.3538346385255
BDQ8C26,256.78,1557.0,1525.9501216058884
BDQ8C29,320.1,1525.0,2528.384755805573
BDQ8C43,202.82,997.0,2960.043215711265
BDR3E53,479.17,1968.0,1735.8843523539113
BDR3E58,453.93999999999994,2872.0,3597.472762515285
BDR3E64,253.82999999999998,944.0,1222.9810320638178
BDR3E65,490.49,1698.0,757.2197775018876
BDR3E69,151.37,411.0,1917.1776747503889
BDR3E71,452.6,1504.0,2092.975437831891
BDR3E75,309.15999999999997,1546.0,894.4869647150545
BDS0E58,209.25,582.0,561.2533194842908
BDS0E59,205.32000000000002,574.0,1707.5408680069115
BDS0E72,366.7,1130.0,2407.188285844469
BDS0E80,187.94,450.0,1099.9875968421045
BDS0E86,354.02000000000004,1558.0,2945.1981852707786
BDS0E90,403.18,1857.0,1338.467752845261
BDS0E91,350.99,1526.0,476.77034551044056
BDS0E93,546.4000000000001,2550.0,1829.4407296023007
BDS0E96,563.92,2553.0,2328.7218710799666
BDS4G75,350.16,2149.0,1076.513043094361
BDS4G76,455.26000000000005,1852.0,349.24991313901216
BDS4G77,458.15,2155.0,1117.3538711144356
BDS4G81,170.84,885.0,3355.642891693554
BDS4G90,345.88,1157.0,3180.5175152079214
BDS4G92,63.07,0.0,2573.098757463229
BDS4G94,282.39,932.0,188.30566682357423
BDS4G95,767.0400000000001,3681.0,3966.31676932473
BDS4G97,64.62,0.0,1788.035518165451
BDS4H01,206.35000000000002,1202.0,2085.273878140063
BDS4H03,252.29000000000002,1168.0,1598.580274153297
BDS4H08,627.95,3379.0,1096.620850250214
BDS4H10,73.49,0.0,3605.9787114444152
BDS4H39,386.04999999999995,1326.0,1021.9368121108464
BED7E90,657.47,2481.0,3834.53675192446
BED7E92,625.6,3433.0,2229.318177330688
BED7E95,327.8,2383.0,912.332896385198
BED7E96,492.64,1924.5,1542.447714358832
BED7E97,93.24000000000001,541.0,1468.5409589133087
BED7F03,214.10000000000002,1303.0,1454.7748233626517
BED7F08,278.09000000000003,1496.0,1466.9235689001184
BED7F11,403.0,970.0,2881.9029971531854
BED7F12,337.63,1544.0,679.1914371019946
BED7F13,463.77,2172.0,2163.426295625608
BED7F14,316.58,1651.0,973.335654134526
BED7F19,269.29999999999995,1132.0,504.4511027847777
BED7F20,300.56,1324.0,1396.008557563198
BED8B95,249.89,1719.0,2278.079349536826
BED8B96,223.48000000000002,1129.0,3828.973245873222
BED8B97,610.26,3193.0,2279.914748097432
BED8B99,284.51,1173.0,1680.013930429995
BED8C01,488.43999999999994,1993.0,1100.590241409745
BED8C03,109.88,273.0,3669.130000364447
BED8C04,306.7,1493.0,1071.4035364967165
BED8C07,529.65,2644.0,4332.966389711379
BED8C08,851.75,3719.0,2455.6694838643566
BED8C09,487.47,1579.5,1678.6718664807158
BED8C10,332.27,1827.0,854.1449715253325
BED8C13,598.3000000000001,3015.0,2287.735214078916
BED8C15,364.26,1222.0,1915.5791048483056
BED8C16,448.49999999999994,1614.0,1868.344206199109
BED8C17,543.73,2732.0,2611.5394297759717
BED8C19,373.44,1038.0,2838.5151227661145
BED8C21,254.21999999999997,546.0,2409.8932176405915
BED8C24,635.61,3135.0,2107.999390672172
BED8C25,486.4,1807.0,1958.1394480319127
BED8C27,484.64000000000004,1767.0,2609.5354696044
BED8C29,541.38,2468.0,3550.581582148217
BED8C31,170.16000000000003,1010.0,4139.139022279891
BED8C32,459.80999999999995,2054.0,4187.403894049878
BED8C33,279.15,1090.0,1436.6797449576538
BED8C35,486.44,2963.0,361.994804654272
BED8C36,332.26,1412.5,1881.9626336493368
BED8C37,544.06,2183.0,3117.096273007595
BED8C38,242.69,950.0,3642.999787744352
BED8C39,358.03000000000003,1699.0,5257.341912901386
BED8C40,461.38,2201.0,2257.823759712278
BED8C41,496.86,1754.0,2779.869806042941
BED8C43,478.3299999999999,1425.5,3173.46669635688
BED8C44,563.02,3697.0,4556.141640709218
BED8C52,333.43,1108.0,2320.564412289464
BED8C59,313.28,884.0,1023.8748822322216
BED8C60,435.95,2088.0,2931.906057500036
BED8C68,355.28000000000003,1232.0,2462.761877961336
BEE3H63,292.26,1079.0,1452.0745124593511
BEE3H64,251.10000000000002,1246.0,3780.4382919330696
BEE3H65,464.39,2004.0,753.2975316944969
BEE3H66,387.12,1769.0,3074.0323611240256
BEE3H68,366.38,1332.0,4678.427716396737
BEE3H71,595.55,2778.0,4368.592660508471
BEE3H74,604.24,3250.0,2434.122724810244
BEE3H80,385.58000000000004,1668.0,1799.7311703683713
BEE3H83,389.69000000000005,1438.0,1282.3136436779348
BEE3H84,716.39,3742.5,1128.8883761516872
BEE3H85,295.13,1031.0,1666.4825204676304
BEE3H87,505.74,2381.0,1547.8463386709448
BEE3H88,412.67,1800.0,3089.472705007771
BEE3H91,64.76,0.0,106.46728119011593
BEE3H93,346.88,1264.0,2186.461289090587
BEE3I66,404.65000000000003,1911.0,1804.495419851179
BEE3I69,249.54000000000002,684.0,436.6065307950753
BEE3I75,453.6,1994.0,3105.8883662746543
BEE3I78,225.85,1016.0,1504.616295168374
BEE3I82,577.4300000000001,2814.0,2190.844994028166
BEE3I84,665.54,2503.0,1300.7204512273947
BEE3I89,409.24,1722.0,2307.377710358147
BEE3J98,423.41,1609.0,3350.0741514497195
BEE4A12,289.75,1139.0,1884.0319235907
BEE4A15,206.92,1324.0,1157.5866941468653
BEE4A18,854.81,4700.0,1098.9959350161869
BEE4A21,244.93,739.0,1375.1919543818783
BEE4A26,651.1700000000001,2916.5,2184.602450025224
BEE4A29,285.78,1159.0,1397.2126475352202
BEE4A31,278.77,1198.0,2351.4460934511785
BEE4A33,386.87,1540.0,1933.8016188728784
BEE4A34,342.55,1365.5,2299.397054541227
BEE4A37,409.3,2696.0,1802.637913933442
BEE4A38,525.61,2249.0,1932.32897968498
BEE4A46,453.05,2378.0,1908.743599643289
BEE4A51,662.61,2669.0,3564.844778553293
BEE4A56,447.54,2004.0,2043.4742571927056
BEE4A81,504.75,2788.0,3153.1659337764227
BEE4A83,643.0600000000001,3792.0,3541.912021695062
BEE4A84,461.36,1893.0,3216.4194775016767
BEE4B28,333.21000000000004,1479.0,2049.2088612217467
BEE4B35,527.62,2879.0,2352.212430724279
BEE4B38,233.54000000000002,668.0,1926.453709644128
BEE4B40,321.1,1035.0,1027.1586397743615
BEE4B46,452.80000000000007,2236.0,3111.95702741609
BEE4B47,441.15999999999997,1584.0,1870.4418991082248
BEE4B49,333.18,1185.5,1482.6266076300517
BEE4B51,427.19,2054.5,2434.7165489446616
BEE4B53,779.14,5355.0,4043.873860777656
BEE4B54,413.4599999999999,2067.0,3604.620238236109
BEE4B55,629.65,2195.0,2572.7924323898114
BEE4B56,163.97,333.0,1429.670286461217
BEE4B57,358.64,751.0,1214.9265079317547
BEE4B58,219.76,684.0,1007.8541693634004
BEE4F31,536.0899999999999,2433.0,1746.2752199643205
BEE6J46,473.44,2193.0,3478.7097999337047
BEE6J47,514.79,2259.0,1330.1400337025616
BEE6J48,292.02,1130.0,584.6335283237061
BEE6J49,515.78,2135.0,470.82677413441473
BEE6J51,710.35,2969.0,2071.047004857597
BEE6J56,282.55,879.0,1963.0205176003444
BEE6J57,436.69,2620.0,2707.2408558814604
BEE6J59,542.8299999999999,2620.0,1236.32464166541
BEE6J61,518.91,3415.0,2379.328591046538
BEE6J62,381.28999999999996,1675.0,766.5028797126781
BEE6J63,411.34999999999997,1894.0,3068.8012964842683
BEE6J64,474.05999999999995,2455.0,1802.7063717625824
BEE6J67,424.04999999999995,1248.0,1356.5275094313415
BEE6J71,250.74,826.0,2805.877787961218
BEE6J78,353.14,1335.0,2763.2557082981016
BEE6J79,367.16,1987.0,1386.8510335433862
BEE6J81,813.04,3405.5,1795.4365635660142
BEE6J85,549.31,3303.0,2856.893432860417
